"","Flag: Sample media is not water","Flag: Result value is not numeric or result value is NA and no detection limit value is provided","Flag: Conflict between detection condition text and detection limit type or detection limit type is not in WQX domain tables (likely USGS/NWIS-specific) ","Flag: Invalid speciation for associated characteristic","Flag: Invalid characteristic and fraction combination","Flag: Invalid units for a given characteristic and media combination","Flag: Measurement activity type code indicates it is a QC replicate, duplicate, or blank","Flag: MeasureQualifierCode indicates result value is suspect"
"316",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"317",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"318",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"319",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"320",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"321",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"322",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"323",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"324",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"325",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"326",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"327",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"328",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"329",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"330",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"331",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"332",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"333",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"334",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"335",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"336",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"337",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"338",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"339",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"340",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"341",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"342",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"343",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"344",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"345",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"346",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"347",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"348",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"349",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"350",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"351",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"352",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"353",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"354",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"355",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"356",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"357",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"358",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"359",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"360",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"361",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"362",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"363",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"364",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"365",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"366",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"367",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"368",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"369",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"370",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"371",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"372",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"373",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"374",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"375",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"376",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"377",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"378",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"379",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"380",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
